,product_name_es,quantity,brands,categories,nutrition_data_per,nutrition_data_prepared_per,energy-kcal_value,energy-kcal_unit,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,carbohydrates_unit,sugars_value,sugars_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,off:food_groups,off:food_groups_tags,off:nova_groups_tags,off:nutriscore_grade,Categoria
2477,Queso semicurado,250g,Dia,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos",100g,100g,423.0,kcal,35.2,g,24.2,g,0.8,g,0.8,g,24.6,g,1.5,g,0.6,g,423.0,kcal,en:cheese,"en:milk-and-dairy-products,en:cheese",en:3-processed-foods,d,Lácteos y Derivados
2478,Hígado de pato fresco,150 g,Martiko,"Pescado carne y huevos, Foies gras, Foies gras de patos",100g,100g,0.0,kcal,0.0,g,0.0,g,2.0,g,2.0,g,0.0,g,1.2,,,,0.0,kcal,en:salty-and-fatty-products,"en:salty-snacks,en:salty-and-fatty-products",en:1-unprocessed-or-minimally-processed-foods,d,"Pescados, Mariscos y Derivados"
2480,Tomate frito,390 g,La Niña del Segura,"Condimentos, Salsas, en:Meal sauces, Salsas de tomate, Salsas de tomate frito, en:Groceries",100g,100g,87.0,kcal,4.0,g,0.5,g,9.9,g,9.7,g,1.6,g,0.39,g,0.156,g,363.0,kJ,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:4-ultra-processed-food-and-drink-products,b,"Salsas, Condimentos y Aditivos"
2481,Patates camperoles,170g,Bonpreu,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Botanas, Cereales y patatas, Snacks salados, Aperitivos, en:Chips and fries, Chips fritos, Chips de patatas fritas, Chips de patatas fritas con sabores",100g,100g,519.0,kcal,30.0,g,3.2,g,51.0,g,1.3,g,8.4,g,1.1,g,0.44,g,2165.0,kJ,en:appetizers,"en:salty-snacks,en:appetizers",unknown,d,"Cereales, Panadería y Pasta"
2482,Sobrasada de cerdo ibérico,150 g,Monte Honfria,"Productos a base de carne, Embutidos, fr:Charcuteries diverses, Embutidos curados, Productos cárnicos españoles, Chorizo, Sobrasada de Mallorca",100g,100g,695.0,kcal,75.0,g,26.5,g,0.3,g,0.2,g,4.5,g,2.0,g,0.8,g,695.0,kcal,en:processed-meat,"en:fish-meat-eggs,en:processed-meat",en:4-ultra-processed-food-and-drink-products,e,"Carne, Aves y Productos Cárnicos"
2483,Zanahoria rallada,345 g,Pelli,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Plats préparés, Légumes, Légumes préparés, Carottes, Carottes râpées",100g,100g,20.08,kcal,0.5,g,0.1,g,4.39,g,2.81,g,0.5,g,0.698,g,0.2792,g,20.08,kcal,en:one-dish-meals,"en:composite-foods,en:one-dish-meals",en:3-processed-foods,b,"Frutas, Verduras y Legumbres"
2484,Aceitunas Verdes sin Hueso,350 g,Carbonell,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Encurtidos, Productos del olivo, Vegetales encurtidos, Aceitunas, Aceitunas verdes, Aceitunas deshuesadas, Aceitunas verdes deshuesadas",serving,100g,30.0,kcal,2.5,g,0.5,g,1.0,g,0.0,g,1.0,g,0.525,g,0.21,g,100.0,kJ,en:salty-and-fatty-products,"en:salty-snacks,en:salty-and-fatty-products",en:3-processed-foods,d,"Frutas, Verduras y Legumbres"
2485,Queso mezcla tierno,500 g,Carrefour,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos",100g,100g,72.0,,3.6,,,,,,4.6,,,,0.13,,,,,,en:cheese,"en:milk-and-dairy-products,en:cheese",en:3-processed-foods,b,Lácteos y Derivados
2486,Puré de Patata con Zanahoria,250,Gutbio,Puré,100g,100g,367.0,kcal,1.0,g,0.1,g,82.0,g,7.9,g,8.7,g,0.2,g,0.08,g,367.0,kcal,,,en:1-unprocessed-or-minimally-processed-foods,a,Comidas Preparadas y Envasadas
2487,Tierno,"1,3 kg aprox.",Entrepinares,Queso de mezcla,100g,100g,399.0,kcal,32.0,g,24.0,g,1.4,g,0.5,g,22.0,g,1.5,g,0.6,g,399.0,kcal,,,en:3-processed-foods,e,Lácteos y Derivados
2488,Llet fresca sense lactosa pasteurizada (semidesnatada),1 l,Bonpreu,"Lácteos, Leches, Leche semidesnatada, Leches frescas, Leches pasteurizadas, Leche de vaca, Leche sin lactosa",100g,100g,45.0,kcal,1.6,g,1.1,g,4.6,g,4.6,g,3.1,g,0.09,g,0.036,g,45.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",unknown,b,Lácteos y Derivados
